prefecture-level city,Prefecture level city code,year,province,Local general public budget expenditures_Ten thousand yuan_Citywide,Education expenditure_Ten thousand yuan_Citywide,education level spending
Pingxiang City,360300,2013,Jiangxi Province,1496007,239231,0.15991302
Pingxiang City,360300,2014,Jiangxi Province,1565483,234927,0.15006678
Pingxiang City,360300,2015,Jiangxi Province,1858015,266272,0.14330993
Pingxiang City,360300,2016,Jiangxi Province,2000197,291243,0.14560716
Pingxiang City,360300,2017,Jiangxi Province,2249377,328694,0.14612668
Pingxiang City,360300,2018,Jiangxi Province,2452856,383618,0.15639646
Pingxiang City,360300,2019,Jiangxi Province,2757979,427829,0.1551241
Pingxiang City,360300,2020,Jiangxi Province,2813311,460618,0.16372808
Pingxiang City,360300,2021,Jiangxi Province,2899651,481963,0.16621414
Jiujiang City,360400,2003,Jiangxi Province,310578,58757,0.18918597
Jiujiang City,360400,2004,Jiangxi Province,384650,69080,0.17959184
Jiujiang City,360400,2005,Jiangxi Province,521068,86312,0.16564441
Jiujiang City,360400,2006,Jiangxi Province,579964,105219,0.18142333
Jiujiang City,360400,2007,Jiangxi Province,780938,157737,0.20198402
Jiujiang City,360400,2008,Jiangxi Province,1044200,187331,0.17940146
Jiujiang City,360400,2009,Jiangxi Province,1346264,231897,0.17225225
Jiujiang City,360400,2010,Jiangxi Province,1665230,239684,0.14393447
Jiujiang City,360400,2011,Jiangxi Province,2252232,412415,0.18311391
Jiujiang City,360400,2012,Jiangxi Province,2980139,552883,0.18552255
Jiujiang City,360400,2013,Jiangxi Province,3382022,650635,0.19238048
Jiujiang City,360400,2014,Jiangxi Province,3835284,715781,0.18663051
Jiujiang City,360400,2015,Jiangxi Province,4428680,823120,0.18586125
Jiujiang City,360400,2016,Jiangxi Province,4654633,829246,0.17815497
Jiujiang City,360400,2017,Jiangxi Province,5250146,908971,0.17313252
Jiujiang City,360400,2018,Jiangxi Province,5562830,998466,0.17948886
Jiujiang City,360400,2019,Jiangxi Province,6517998,1154744,0.17716237
Jiujiang City,360400,2020,Jiangxi Province,6481837,1180943,0.18219264
Jiujiang City,360400,2021,Jiangxi Province,6244689,1170435,0.18742887
Xinyu City,360500,2003,Jiangxi Province,108626,14252,0.13120247
Xinyu City,360500,2004,Jiangxi Province,128566,18837,0.14651619
Xinyu City,360500,2005,Jiangxi Province,177181,22234,0.1254875
Xinyu City,360500,2006,Jiangxi Province,220875,26751,0.12111375
Xinyu City,360500,2007,Jiangxi Province,326435,47842,0.14655904
Xinyu City,360500,2008,Jiangxi Province,446101,57274,0.12838797
Xinyu City,360500,2009,Jiangxi Province,586740,67990,0.11587756
Xinyu City,360500,2010,Jiangxi Province,776593,83356,0.1073355
Xinyu City,360500,2011,Jiangxi Province,1027683,144394,0.14050442
Xinyu City,360500,2012,Jiangxi Province,1256867,184475,0.14677368
Xinyu City,360500,2013,Jiangxi Province,1271569,184588,0.14516554
Xinyu City,360500,2014,Jiangxi Province,1317360,191222,0.14515546
Xinyu City,360500,2015,Jiangxi Province,1521476,197964,0.13011313
Xinyu City,360500,2016,Jiangxi Province,1529509,208021,0.13600508
Xinyu City,360500,2017,Jiangxi Province,1619707,212330,0.13109161
Xinyu City,360500,2018,Jiangxi Province,1402593,223886,0.15962293
Xinyu City,360500,2019,Jiangxi Province,1560860,236193,0.15132235
Xinyu City,360500,2020,Jiangxi Province,1646054,257015,0.15614008
Xinyu City,360500,2021,Jiangxi Province,1577156,257918,0.1635336
Yingtan City,360600,2003,Jiangxi Province,86155,13900,0.16133712
Yingtan City,360600,2004,Jiangxi Province,102492,14536,0.1418257
Yingtan City,360600,2005,Jiangxi Province,128879,17316,0.13435858
Yingtan City,360600,2006,Jiangxi Province,163232,21212,0.12995001
Yingtan City,360600,2007,Jiangxi Province,242560,36852,0.15192942
Yingtan City,360600,2008,Jiangxi Province,320029,44888,0.14026229
Yingtan City,360600,2009,Jiangxi Province,408107,55986,0.13718461
Yingtan City,360600,2010,Jiangxi Province,574568,58152,0.10120995
Yingtan City,360600,2011,Jiangxi Province,681157,101203,0.14857514
Yingtan City,360600,2012,Jiangxi Province,880542,126831,0.14403742
Yingtan City,360600,2013,Jiangxi Province,1003652,143151,0.14263011
Yingtan City,360600,2014,Jiangxi Province,1149741,157579,0.13705608
Yingtan City,360600,2015,Jiangxi Province,1277407,179553,0.14056053
Yingtan City,360600,2016,Jiangxi Province,1280314,185759,0.14508863
Yingtan City,360600,2017,Jiangxi Province,1283538,192836,0.15023786
Yingtan City,360600,2018,Jiangxi Province,1401841,241778,0.17247177
Yingtan City,360600,2019,Jiangxi Province,1550628,267638,0.17259975
Yingtan City,360600,2020,Jiangxi Province,1889707,307206,0.16256806
Yingtan City,360600,2021,Jiangxi Province,1886467,320960,0.17013815
Ganzhou City,360700,2003,Jiangxi Province,475415,84487,0.1777121
Ganzhou City,360700,2004,Jiangxi Province,564957,97203,0.1720538
Ganzhou City,360700,2005,Jiangxi Province,682319,112783,0.16529365
Ganzhou City,360700,2006,Jiangxi Province,866353,134949,0.15576676
Ganzhou City,360700,2007,Jiangxi Province,1111894,219090,0.19704216
Ganzhou City,360700,2008,Jiangxi Province,1571326,280214,0.17832964
Ganzhou City,360700,2009,Jiangxi Province,2083492,369743,0.17746312
Ganzhou City,360700,2010,Jiangxi Province,2396873,407618,0.17006241
Ganzhou City,360700,2011,Jiangxi Province,3118366,616799,0.19779558
Ganzhou City,360700,2012,Jiangxi Province,4041635,943613,0.23347309
Ganzhou City,360700,2013,Jiangxi Province,4804153,1013993,0.21106593
Ganzhou City,360700,2014,Jiangxi Province,5362745,1088115,0.20290262
Ganzhou City,360700,2015,Jiangxi Province,6149655,1176181,0.19125967
Ganzhou City,360700,2016,Jiangxi Province,6768320,1367740,0.20207969
Ganzhou City,360700,2017,Jiangxi Province,7763343,1579970,0.20351671
Ganzhou City,360700,2018,Jiangxi Province,8575883,1814857,0.21162334
Ganzhou City,360700,2019,Jiangxi Province,10074419,2062474,0.20472387
Ganzhou City,360700,2020,Jiangxi Province,9767563,2200526,0.22528915
Ganzhou City,360700,2021,Jiangxi Province,9610938,2181453,0.22697608
Ji'an City,360800,2003,Jiangxi Province,308614,70322,0.22786393
Ji'an City,360800,2004,Jiangxi Province,371803,78302,0.21060078
Ji'an City,360800,2005,Jiangxi Province,484200,95285,0.19678852
Ji'an City,360800,2006,Jiangxi Province,586190,110995,0.18934987
Ji'an City,360800,2007,Jiangxi Province,741843,153495,0.20691036
Ji'an City,360800,2008,Jiangxi Province,1002202,193699,0.19327341
Ji'an City,360800,2009,Jiangxi Province,1280670,226937,0.17720178
Ji'an City,360800,2010,Jiangxi Province,1583585,250298,0.15805782
Ji'an City,360800,2011,Jiangxi Province,1972186,380352,0.19285808
Ji'an City,360800,2012,Jiangxi Province,2469444,549380,0.22247113
Ji'an City,360800,2013,Jiangxi Province,2852905,618634,0.21684353
Ji'an City,360800,2014,Jiangxi Province,3086929,672139,0.21773711
Ji'an City,360800,2015,Jiangxi Province,3596439,766135,0.213026
Ji'an City,360800,2016,Jiangxi Province,3831014,789720,0.20613864
Ji'an City,360800,2017,Jiangxi Province,4332153,866115,0.19992715
Ji'an City,360800,2018,Jiangxi Province,4845240,936144,0.19320901
Ji'an City,360800,2019,Jiangxi Province,5427662,1025944,0.18902135
Ji'an City,360800,2020,Jiangxi Province,5556528,1083481,0.19499245
Ji'an City,360800,2021,Jiangxi Province,5594237,1112021,0.19877974
Yichun City,360900,2003,Jiangxi Province,299772,64299,0.21449301
Yichun City,360900,2004,Jiangxi Province,369064,72775,0.19718802
Yichun City,360900,2005,Jiangxi Province,463304,87354,0.18854575
Yichun City,360900,2006,Jiangxi Province,589591,102294,0.17349993
Yichun City,360900,2007,Jiangxi Province,777441,158134,0.20340322
Yichun City,360900,2008,Jiangxi Province,1045851,190385,0.18203836
Yichun City,360900,2009,Jiangxi Province,1385270,248952,0.1797137
Yichun City,360900,2010,Jiangxi Province,1716084,286468,0.16693122
Yichun City,360900,2011,Jiangxi Province,2152163,426414,0.19813276
Yichun City,360900,2012,Jiangxi Province,2692561,543554,0.20187249
Yichun City,360900,2013,Jiangxi Province,3048682,609636,0.19996707
Yichun City,360900,2014,Jiangxi Province,3467136,693012,0.19988025
Yichun City,360900,2015,Jiangxi Province,4035079,787469,0.19515578
Yichun City,360900,2016,Jiangxi Province,4348479,840622,0.19331403
Yichun City,360900,2017,Jiangxi Province,4750473,906585,0.190841
Yichun City,360900,2018,Jiangxi Province,5233948,997976,0.19067366
Yichun City,360900,2019,Jiangxi Province,6207195,1133573,0.18262242
Yichun City,360900,2020,Jiangxi Province,6519948,1205235,0.18485347
Yichun City,360900,2021,Jiangxi Province,6490510,1175773,0.18115264
Fuzhou City,361000,2003,Jiangxi Province,252313,52243,0.20705631
Fuzhou City,361000,2004,Jiangxi Province,280826,55175,0.19647397
Fuzhou City,361000,2005,Jiangxi Province,329889,62990,0.19094301
Fuzhou City,361000,2006,Jiangxi Province,428998,77454,0.1805463
Fuzhou City,361000,2007,Jiangxi Province,595828,110071,0.1847362
Fuzhou City,361000,2008,Jiangxi Province,807529,138879,0.1719802
Fuzhou City,361000,2009,Jiangxi Province,1051513,186960,0.17780094
Fuzhou City,361000,2010,Jiangxi Province,1394453,203362,0.1458364
Fuzhou City,361000,2011,Jiangxi Province,1786658,315137,0.1763835
Fuzhou City,361000,2012,Jiangxi Province,2022092,419226,0.20732291
Fuzhou City,361000,2013,Jiangxi Province,2276705,474946,0.20861113
Fuzhou City,361000,2014,Jiangxi Province,2557888,512909,0.20052051
Fuzhou City,361000,2015,Jiangxi Province,2942955,560038,0.19029785
Fuzhou City,361000,2016,Jiangxi Province,3123357,571351,0.1829285
Fuzhou City,361000,2017,Jiangxi Province,3552632,622552,0.17523684
Fuzhou City,361000,2018,Jiangxi Province,4036499,682226,0.16901429
Fuzhou City,361000,2019,Jiangxi Province,4748730,768167,0.16176262
Fuzhou City,361000,2020,Jiangxi Province,4999792,899268,0.17986108
Fuzhou City,361000,2021,Jiangxi Province,5013311,874027,0.17434127
Shangrao City,361100,2003,Jiangxi Province,348269,89928,0.2582142
Shangrao City,361100,2004,Jiangxi Province,429723,102426,0.23835354
Shangrao City,361100,2005,Jiangxi Province,553939,124428,0.22462401
Shangrao City,361100,2006,Jiangxi Province,684650,141197,0.20623238
Shangrao City,361100,2007,Jiangxi Province,951552,208350,0.21895808
Shangrao City,361100,2008,Jiangxi Province,1186358,249049,0.20992736
Shangrao City,361100,2009,Jiangxi Province,1538949,315851,0.20523812
Shangrao City,361100,2010,Jiangxi Province,1916792,360688,0.18817274
Shangrao City,361100,2011,Jiangxi Province,2406011,519917,0.21609087
Shangrao City,361100,2012,Jiangxi Province,3042588,697366,0.22920159
Shangrao City,361100,2013,Jiangxi Province,3562046,828764,0.23266516
Shangrao City,361100,2014,Jiangxi Province,3846056,870814,0.2264174
Shangrao City,361100,2015,Jiangxi Province,4569445,924780,0.20238344
Shangrao City,361100,2016,Jiangxi Province,4955749,965141,0.19475179
Shangrao City,361100,2017,Jiangxi Province,5503984,1036827,0.18837755
Shangrao City,361100,2018,Jiangxi Province,6222704,1142953,0.18367465
Shangrao City,361100,2019,Jiangxi Province,7319409,1247450,0.17043043
Shangrao City,361100,2020,Jiangxi Province,7497687,1343647,0.1792082
Shangrao City,361100,2021,Jiangxi Province,7531338,1385317,0.18394036
Jinan City,370100,2003,Shandong Province,884597,122383,0.13834888
Jinan City,370100,2004,Shandong Province,1015079,136965,0.13493038
Jinan City,370100,2005,Shandong Province,1206643,596470,0.49432185
Jinan City,370100,2006,Shandong Province,1469762,175935,0.11970305
Jinan City,370100,2007,Shandong Province,1799787,215801,0.11990363
Jinan City,370100,2008,Shandong Province,2213190,328570,0.14845992
Jinan City,370100,2009,Shandong Province,2599178,368010,0.14158707
Jinan City,370100,2010,Shandong Province,3368037,503295,0.14943274
Jinan City,370100,2011,Shandong Province,3968831,652914,0.16451041
Jinan City,370100,2012,Shandong Province,4656731,819974,0.17608361
Jinan City,370100,2013,Shandong Province,5193190,889605,0.17130222
Jinan City,370100,2014,Shandong Province,5714138,932184,0.16313642
Jinan City,370100,2015,Shandong Province,6581813,1163590,0.17678868
Jinan City,370100,2016,Shandong Province,7412641,1308610,0.17653762
Jinan City,370100,2017,Shandong Province,8340600,1433433,0.1718621
Jinan City,370100,2018,Shandong Province,10182539,1530697,0.15032567
Jinan City,370100,2019,Shandong Province,11973158,1858212,0.15519815
Jinan City,370100,2020,Shandong Province,12887953,2110114,0.16372763
Jinan City,370100,2021,Shandong Province,12927074,2131020,0.16484937
Laiwu District,370116,2003,Shandong Province,114230,21694,0.18991508
Laiwu District,370116,2004,Shandong Province,144815,28633,0.19772123
Laiwu District,370116,2005,Shandong Province,220310,37227,0.16897553
Laiwu District,370116,2006,Shandong Province,282419,49980,0.1769711
Laiwu District,370116,2007,Shandong Province,345318,84487,0.24466434
Laiwu District,370116,2008,Shandong Province,393815,97863,0.24849993
Laiwu District,370116,2009,Shandong Province,446068,110922,0.24866612
Laiwu District,370116,2010,Shandong Province,519371,122768,0.23637823
Laiwu District,370116,2011,Shandong Province,592276,151541,0.25586213
Laiwu District,370116,2012,Shandong Province,667256,172124,0.25795797
Laiwu District,370116,2013,Shandong Province,758101,178422,0.23535386
Laiwu District,370116,2014,Shandong Province,801172,183499,0.22903821
Laiwu District,370116,2015,Shandong Province,838437,190043,0.22666342
Laiwu District,370116,2016,Shandong Province,865777,204826,0.23658055
Laiwu District,370116,2017,Shandong Province,887679,201748,0.22727585
Laiwu District,370116,2018,Shandong Province,1003535,224678,0.22388656
Qingdao City,370200,2003,Shandong Province,1471747,236441,0.16065329
Qingdao City,370200,2004,Shandong Province,1646216,264138,0.16045161
Qingdao City,370200,2005,Shandong Province,2030622,338519,0.16670705
Qingdao City,370200,2006,Shandong Province,2367875,401744,0.16966436
Qingdao City,370200,2007,Shandong Province,3211777,576626,0.17953488
Qingdao City,370200,2008,Shandong Province,3694111,670607,0.18153407
Qingdao City,370200,2009,Shandong Province,4335754,719182,0.16587242
Qingdao City,370200,2010,Shandong Province,5323888,860663,0.16166061
Qingdao City,370200,2011,Shandong Province,6580605,1126402,0.17116998
Qingdao City,370200,2012,Shandong Province,7659801,1432445,0.18700812
Qingdao City,370200,2013,Shandong Province,10142273,1723376,0.1699201
Qingdao City,370200,2014,Shandong Province,10747138,1871258,0.17411687
Qingdao City,370200,2015,Shandong Province,12228664,2340929,0.19142966
Qingdao City,370200,2016,Shandong Province,13528516,2530205,0.18702754
Qingdao City,370200,2017,Shandong Province,14030252,2538189,0.1809083
Qingdao City,370200,2018,Shandong Province,15597764,2630041,0.16861654
Qingdao City,370200,2019,Shandong Province,15759729,2750716,0.17454082
Qingdao City,370200,2020,Shandong Province,15846485,2885546,0.18209376
Qingdao City,370200,2021,Shandong Province,17067635,3088039,0.18092952
Zibo,370300,2003,Shandong Province,479232,94331,0.19683786
Zibo,370300,2004,Shandong Province,625512,109789,0.17551862
Zibo,370300,2005,Shandong Province,805670,151237,0.18771581
Zibo,370300,2006,Shandong Province,1010541,190230,0.1882457
Zibo,370300,2007,Shandong Province,1175987,284839,0.24221271
Zibo,370300,2008,Shandong Province,1414546,326091,0.23052697
Zibo,370300,2009,Shandong Province,1619741,352334,0.2175249
Zibo,370300,2010,Shandong Province,2018701,403737,0.19999841
Zibo,370300,2011,Shandong Province,2531904,613364,0.24225405
Zibo,370300,2012,Shandong Province,2908832,733619,0.25220398
Zibo,370300,2013,Shandong Province,3245438,760205,0.23423803
Zibo,370300,2014,Shandong Province,3425263,746612,0.21797217
Zibo,370300,2015,Shandong Province,3828905,849080,0.22175531
Zibo,370300,2016,Shandong Province,4184326,938341,0.22425141
Zibo,370300,2017,Shandong Province,4460258,966525,0.21669711
Zibo,370300,2018,Shandong Province,4746250,1006701,0.2121045
Zibo,370300,2019,Shandong Province,4997410,1021078,0.20432144
Zibo,370300,2020,Shandong Province,5227838,1039080,0.19875903
Zibo,370300,2021,Shandong Province,5226768,1073189,0.20532555
Zaozhuang City,370400,2003,Shandong Province,240442,46884,0.19499089
Zaozhuang City,370400,2004,Shandong Province,307196,55897,0.18195875
Zaozhuang City,370400,2005,Shandong Province,482335,69331,0.14374035
Zaozhuang City,370400,2006,Shandong Province,514969,83353,0.16186023
Zaozhuang City,370400,2007,Shandong Province,681516,134425,0.19724409
Zaozhuang City,370400,2008,Shandong Province,800312,169394,0.21165995
Zaozhuang City,370400,2009,Shandong Province,1010421,204907,0.20279369
Zaozhuang City,370400,2010,Shandong Province,1289527,255187,0.19789194
Zaozhuang City,370400,2011,Shandong Province,1603447,341934,0.21324933
Zaozhuang City,370400,2012,Shandong Province,1871868,374087,0.19984689
Zaozhuang City,370400,2013,Shandong Province,2078039,383663,0.18462743
Zaozhuang City,370400,2014,Shandong Province,2172070,404153,0.18606813
Zaozhuang City,370400,2015,Shandong Province,2364093,460601,0.19483201
Zaozhuang City,370400,2016,Shandong Province,2469788,490993,0.19879965
Zaozhuang City,370400,2017,Shandong Province,2452853,508597,0.20734916
Zaozhuang City,370400,2018,Shandong Province,2597389,560080,0.21563193
Zaozhuang City,370400,2019,Shandong Province,2671355,587495,0.21992397
Zaozhuang City,370400,2020,Shandong Province,2710324,626752,0.23124615
Zaozhuang City,370400,2021,Shandong Province,2738792,648041,0.23661563
Dongying City,370500,2003,Shandong Province,287115,38708,0.13481706
Dongying City,370500,2004,Shandong Province,545731,106658,0.19544061
Dongying City,370500,2005,Shandong Province,639122,107931,0.16887386
Dongying City,370500,2006,Shandong Province,618612,114045,0.18435627
Dongying City,370500,2007,Shandong Province,762821,177192,0.23228516
Dongying City,370500,2008,Shandong Province,897217,199763,0.22264736
Dongying City,370500,2009,Shandong Province,1052619,218193,0.20728583
Dongying City,370500,2010,Shandong Province,1419464,250971,0.17680688
Dongying City,370500,2011,Shandong Province,1797989,384680,0.21395014
Dongying City,370500,2012,Shandong Province,2083973,474179,0.22753606
Dongying City,370500,2013,Shandong Province,2322472,441862,0.19025504
Dongying City,370500,2014,Shandong Province,2413559,464290,0.19236737
Dongying City,370500,2015,Shandong Province,2576377,494462,0.19192145
Dongying City,370500,2016,Shandong Province,2681450,525599,0.19601298
Dongying City,370500,2017,Shandong Province,2776552,500649,0.18031321
Dongying City,370500,2018,Shandong Province,3062955,531598,0.17355723
Dongying City,370500,2019,Shandong Province,3061932,576127,0.188158
Dongying City,370500,2020,Shandong Province,3113037,607324,0.19509052
Dongying City,370500,2021,Shandong Province,3011302,610382,0.20269704
City of Yantai,370600,2003,Shandong Province,755238,137494,0.18205387
City of Yantai,370600,2004,Shandong Province,920456,155092,0.16849475
City of Yantai,370600,2005,Shandong Province,1141058,189695,0.16624484
City of Yantai,370600,2006,Shandong Province,1436891,220599,0.15352522
City of Yantai,370600,2007,Shandong Province,1744960,314811,0.18041159
City of Yantai,370600,2008,Shandong Province,2092492,371673,0.17762218
City of Yantai,370600,2009,Shandong Province,2480328,438429,0.17676251
City of Yantai,370600,2010,Shandong Province,3238648,566433,0.17489798
City of Yantai,370600,2011,Shandong Province,4075326,766963,0.18819672
City of Yantai,370600,2012,Shandong Province,4768714,964213,0.2021956
City of Yantai,370600,2013,Shandong Province,5417439,1019819,0.18824744
City of Yantai,370600,2014,Shandong Province,5748633,1046156,0.18198344
City of Yantai,370600,2015,Shandong Province,6435311,1226863,0.19064549
City of Yantai,370600,2016,Shandong Province,6792598,1313358,0.19335135
City of Yantai,370600,2017,Shandong Province,7080657,1156582,0.16334388
City of Yantai,370600,2018,Shandong Province,7559881,1229062,0.1625769
City of Yantai,370600,2019,Shandong Province,7745446,1286107,0.16604686
City of Yantai,370600,2020,Shandong Province,8453830,1349414,0.15962162
City of Yantai,370600,2021,Shandong Province,8029313,1367916,0.17036526
Weifang,370700,2003,Shandong Province,592469,169782,0.28656689
Weifang,370700,2004,Shandong Province,735969,193882,0.26343773
Weifang,370700,2005,Shandong Province,953002,224290,0.23535103
Weifang,370700,2006,Shandong Province,1149828,252298,0.21942238
Weifang,370700,2007,Shandong Province,1487856,386036,0.2594579
Weifang,370700,2008,Shandong Province,1823495,510254,0.27982199
Weifang,370700,2009,Shandong Province,2277162,583367,0.2561816
Weifang,370700,2010,Shandong Province,2910354,730950,0.25115501
Weifang,370700,2011,Shandong Province,3582607,959695,0.26787616
Weifang,370700,2012,Shandong Province,4255938,1149141,0.27000887
Weifang,370700,2013,Shandong Province,4939637,1320019,0.26722996
Weifang,370700,2014,Shandong Province,5277579,1397928,0.26488054
Weifang,370700,2015,Shandong Province,6121550,1599313,0.26125948
Weifang,370700,2016,Shandong Province,6376024,1651986,0.25909344
Weifang,370700,2017,Shandong Province,6783951,1724106,0.25414482
Weifang,370700,2018,Shandong Province,7334934,1782993,0.24308235
Weifang,370700,2019,Shandong Province,7779024,1850600,0.23789617
Weifang,370700,2020,Shandong Province,7961207,1882246,0.23642722
Weifang,370700,2021,Shandong Province,8798370,2024365,0.2300841
Jining City,370800,2003,Shandong Province,614106,123329,0.20082689
Jining City,370800,2004,Shandong Province,732335,141970,0.19385937
Jining City,370800,2005,Shandong Province,877909,161075,0.18347574
Jining City,370800,2006,Shandong Province,1140286,204464,0.1793094
Jining City,370800,2007,Shandong Province,1429435,348158,0.24356337
Jining City,370800,2008,Shandong Province,1746223,438655,0.25120217
Jining City,370800,2009,Shandong Province,1984911,476681,0.24015233
Jining City,370800,2010,Shandong Province,2521964,558909,0.22161657
Jining City,370800,2011,Shandong Province,3003899,753333,0.25078506
Jining City,370800,2012,Shandong Province,3624886,891067,0.24581932
Jining City,370800,2013,Shandong Province,4282702,956281,0.22328918
Jining City,370800,2014,Shandong Province,4668653,1034668,0.22162024
Jining City,370800,2015,Shandong Province,5150877,1140273,0.22137453
Jining City,370800,2016,Shandong Province,5556446,1249685,0.22490725
Jining City,370800,2017,Shandong Province,5696170,1309429,0.22987885
Jining City,370800,2018,Shandong Province,6196247,1413531,0.22812696
Jining City,370800,2019,Shandong Province,6673016,1496400,0.22424643
Jining City,370800,2020,Shandong Province,6956944,1593221,0.22901162
Jining City,370800,2021,Shandong Province,7272310,1688587,0.23219403
Tai'an City,370900,2003,Shandong Province,414623,71547,0.17255917
Tai'an City,370900,2004,Shandong Province,514985,79097,0.15359088
Tai'an City,370900,2005,Shandong Province,637097,90332,0.14178689
Tai'an City,370900,2006,Shandong Province,780580,103466,0.13255016
Tai'an City,370900,2007,Shandong Province,1045857,165343,0.15809331
Tai'an City,370900,2008,Shandong Province,1116136,214091,0.19181444
Tai'an City,370900,2009,Shandong Province,1344699,240841,0.17910402
Tai'an City,370900,2010,Shandong Province,1756137,306115,0.17431157
Tai'an City,370900,2011,Shandong Province,2083734,406792,0.19522261
Tai'an City,370900,2012,Shandong Province,2426677,477007,0.19656798
Tai'an City,370900,2013,Shandong Province,2590660,514605,0.19863857
Tai'an City,370900,2014,Shandong Province,2857756,531279,0.18590775
Tai'an City,370900,2015,Shandong Province,3268776,650584,0.19902985
Tai'an City,370900,2016,Shandong Province,3305875,647517,0.19586857
Tai'an City,370900,2017,Shandong Province,3559560,690131,0.19388099
Tai'an City,370900,2018,Shandong Province,3810385,748958,0.19655704
Tai'an City,370900,2019,Shandong Province,4145498,819343,0.19764646
Tai'an City,370900,2020,Shandong Province,4347911,870469,0.20020396
Tai'an City,370900,2021,Shandong Province,4281902,918945,0.2146114
Weihai,371000,2003,Shandong Province,471261,68135,0.14458018
Weihai,371000,2004,Shandong Province,585202,94509,0.16149808
Weihai,371000,2005,Shandong Province,723913,109515,0.15128199
Weihai,371000,2006,Shandong Province,882819,120004,0.13593273
Weihai,371000,2007,Shandong Province,1033613,170000,0.16447162
Weihai,371000,2008,Shandong Province,1222241,208452,0.17054902
Weihai,371000,2009,Shandong Province,1369102,237023,0.17312297
Weihai,371000,2010,Shandong Province,1679255,317136,0.18885518
Weihai,371000,2011,Shandong Province,2005904,392778,0.19581097
Weihai,371000,2012,Shandong Province,2443651,491796,0.2012546
Weihai,371000,2013,Shandong Province,2639893,548148,0.20764023
Weihai,371000,2014,Shandong Province,2805973,591246,0.2107098
Weihai,371000,2015,Shandong Province,3383797,692775,0.20473303
Weihai,371000,2016,Shandong Province,3386024,751238,0.22186435
Weihai,371000,2017,Shandong Province,3595607,805473,0.22401586
Weihai,371000,2018,Shandong Province,3638370,826470,0.22715392
Weihai,371000,2019,Shandong Province,3431670,829781,0.24180093
Weihai,371000,2020,Shandong Province,3504195,854240,0.24377639
Weihai,371000,2021,Shandong Province,3434977,854521,0.24877052
Rizhao City,371100,2003,Shandong Province,161033,37564,0.23326896
Rizhao City,371100,2004,Shandong Province,184185,39940,0.21684719
Rizhao City,371100,2005,Shandong Province,227074,48462,0.21341941
Rizhao City,371100,2006,Shandong Province,326714,58024,0.17759876
Rizhao City,371100,2007,Shandong Province,463847,102195,0.22032049
Rizhao City,371100,2008,Shandong Province,571671,128184,0.22422687
Rizhao City,371100,2009,Shandong Province,728517,153159,0.21023394
Rizhao City,371100,2010,Shandong Province,948309,204759,0.21592013
Rizhao City,371100,2011,Shandong Province,1243547,277285,0.22297911
Rizhao City,371100,2012,Shandong Province,1380239,316053,0.22898426
Rizhao City,371100,2013,Shandong Province,1582461,321007,0.20285302
Rizhao City,371100,2014,Shandong Province,1677685,352729,0.21024745
Rizhao City,371100,2015,Shandong Province,1853745,409078,0.22067652
Rizhao City,371100,2016,Shandong Province,2050777,449436,0.21915401
Rizhao City,371100,2017,Shandong Province,2322639,484538,0.20861529
Rizhao City,371100,2018,Shandong Province,2595536,538654,0.20753093
Rizhao City,371100,2019,Shandong Province,2674478,558964,0.20899929
Rizhao City,371100,2020,Shandong Province,2865968,595436,0.20776087
Rizhao City,371100,2021,Shandong Province,2705827,610481,0.22561716
Linyi City,371300,2003,Shandong Province,530218,123870,0.23362089
Linyi City,371300,2004,Shandong Province,675203,144967,0.21470136
Linyi City,371300,2005,Shandong Province,822638,164921,0.20047822
Linyi City,371300,2006,Shandong Province,991680,194380,0.19601081
Linyi City,371300,2007,Shandong Province,1271190,328050,0.25806528
Linyi City,371300,2008,Shandong Province,1523976,375249,0.24623026
Linyi City,371300,2009,Shandong Province,1873418,416993,0.22258407
Linyi City,371300,2010,Shandong Province,2364649,519127,0.2195366
Linyi City,371300,2011,Shandong Province,2848859,723162,0.25384268
Linyi City,371300,2012,Shandong Province,3489792,852508,0.24428619
Linyi City,371300,2013,Shandong Province,4054963,960888,0.23696591
Linyi City,371300,2014,Shandong Province,4550709,1074817,0.23618671
Linyi City,371300,2015,Shandong Province,5335871,1282424,0.24034014
Linyi City,371300,2016,Shandong Province,5743259,1340715,0.2334415
Linyi City,371300,2017,Shandong Province,5896115,1415646,0.2400981
Linyi City,371300,2018,Shandong Province,6391287,1547356,0.24210398
Linyi City,371300,2019,Shandong Province,7108073,1703364,0.23963794
Linyi City,371300,2020,Shandong Province,7925416,1910645,0.2410782
Linyi City,371300,2021,Shandong Province,8066215,1988972,0.24658058
Dezhou City,371400,2003,Shandong Province,367280,75572,0.20576127
Dezhou City,371400,2004,Shandong Province,402649,80463,0.1998341
Dezhou City,371400,2005,Shandong Province,505008,86336,0.17095967
Dezhou City,371400,2006,Shandong Province,636011,100432,0.15790922
Dezhou City,371400,2007,Shandong Province,770284,158505,0.20577475
Dezhou City,371400,2008,Shandong Province,957404,202473,0.21148126
Dezhou City,371400,2009,Shandong Province,1148099,222391,0.19370368
Dezhou City,371400,2010,Shandong Province,1549133,286075,0.18466781
Dezhou City,371400,2011,Shandong Province,1763347,417659,0.23685582
Dezhou City,371400,2012,Shandong Province,2421075,516664,0.21340272
Dezhou City,371400,2013,Shandong Province,2673469,604727,0.22619563
Dezhou City,371400,2014,Shandong Province,2752649,526040,0.19110319
